Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1730000.0 ; 2.211283E-5
1736000.0 ; 2.211291E-5
1740000.0 ; 2.211297E-5
1750000.0 ; 2.21131E-5
1760000.0 ; 2.211323E-5
1770000.0 ; 2.211337E-5
1780000.0 ; 2.21135E-5
1790000.0 ; 2.211363E-5
1800000.0 ; 2.211376E-5
1820000.0 ; 2.211402E-5
1850000.0 ; 2.21144E-5
1900000.0 ; 2.211503E-5
1950000.0 ; 2.211564E-5
2000000.0 ; 2.211623E-5
2025000.0 ; 2.211652E-5
2050000.0 ; 2.211681E-5
2052000.0 ; 2.211683E-5
2053000.0 ; 2.211684E-5
2054000.0 ; 2.211685E-5
2056000.0 ; 2.211688E-5
2058000.0 ; 2.21169E-5
2060000.0 ; 2.211692E-5
2061000.0 ; 2.211693E-5
2062000.0 ; 2.211694E-5
2063000.0 ; 2.211696E-5
2064000.0 ; 2.211697E-5
2065000.0 ; 2.211698E-5
2066000.0 ; 2.211699E-5
2067000.0 ; 2.2117E-5
2068000.0 ; 2.211701E-5
2069000.0 ; 2.211702E-5
2070000.0 ; 2.211703E-5
2071000.0 ; 2.211705E-5
2072000.0 ; 2.211706E-5
2073000.0 ; 2.211707E-5
2074000.0 ; 2.211708E-5
2075000.0 ; 2.211709E-5
2076000.0 ; 2.21171E-5
2077000.0 ; 2.211711E-5
2078000.0 ; 2.211712E-5
2079000.0 ; 2.211714E-5
2080000.0 ; 2.211715E-5
2081000.0 ; 2.211716E-5
2082000.0 ; 2.211717E-5
2083000.0 ; 2.211718E-5
2084000.0 ; 2.211719E-5
2085000.0 ; 2.21172E-5
2086000.0 ; 2.211721E-5
2087000.0 ; 2.211723E-5
2088000.0 ; 2.211724E-5
2089000.0 ; 2.211725E-5
2090000.0 ; 2.211726E-5
2091000.0 ; 2.211727E-5
2092000.0 ; 2.211728E-5
2093000.0 ; 2.211729E-5
2094000.0 ; 2.21173E-5
2095000.0 ; 2.211732E-5
2096000.0 ; 2.211733E-5
2097000.0 ; 2.211734E-5
2098000.0 ; 2.211735E-5
2099000.0 ; 2.211736E-5
2100000.0 ; 2.211737E-5
2102000.0 ; 2.211739E-5
2104000.0 ; 2.211742E-5
2106000.0 ; 2.211744E-5
2108000.0 ; 2.211746E-5
2110000.0 ; 2.211748E-5
2112000.0 ; 2.21175E-5
2114000.0 ; 2.211753E-5
2116000.0 ; 2.211755E-5
2118000.0 ; 2.211757E-5
2120000.0 ; 2.211759E-5
2140000.0 ; 2.211781E-5
2160000.0 ; 2.211803E-5
2180000.0 ; 2.211825E-5
2200000.0 ; 2.211846E-5
2220000.0 ; 2.211867E-5
2240000.0 ; 2.211888E-5
2260000.0 ; 2.211909E-5
2280000.0 ; 2.21193E-5
2300000.0 ; 2.21195E-5
2320000.0 ; 2.211971E-5
2340000.0 ; 2.211991E-5
2360000.0 ; 2.212011E-5
2380000.0 ; 2.21203E-5
2400000.0 ; 2.21205E-5
2420000.0 ; 2.212069E-5
2440000.0 ; 2.212089E-5
2460000.0 ; 2.212108E-5
2480000.0 ; 2.212127E-5
2500000.0 ; 2.212146E-5
2520000.0 ; 2.212164E-5
2540000.0 ; 2.212183E-5
2553000.0 ; 2.212195E-5
2560000.0 ; 2.212201E-5
2580000.0 ; 2.212219E-5
2600000.0 ; 2.212237E-5
2620000.0 ; 2.212255E-5
2640000.0 ; 2.212273E-5
2660000.0 ; 2.212291E-5
2680000.0 ; 2.212308E-5
2700000.0 ; 2.212326E-5
2720000.0 ; 2.212343E-5
2740000.0 ; 2.21236E-5
2760000.0 ; 2.212377E-5
2780000.0 ; 2.212394E-5
2785000.0 ; 2.212398E-5
2790000.0 ; 2.212403E-5
2795000.0 ; 2.212407E-5
2800000.0 ; 2.212411E-5
2802000.0 ; 2.212413E-5
2804000.0 ; 2.212414E-5
2806000.0 ; 2.212416E-5
2808000.0 ; 2.212418E-5
2810000.0 ; 2.212419E-5
2811000.0 ; 2.21242E-5
2812000.0 ; 2.212421E-5
2813000.0 ; 2.212422E-5
2814000.0 ; 2.212423E-5
2815000.0 ; 2.212424E-5
2816000.0 ; 2.212424E-5
2817000.0 ; 2.212425E-5
2818000.0 ; 2.212426E-5
2819000.0 ; 2.212427E-5
2820000.0 ; 2.212428E-5
2822000.0 ; 2.212429E-5
2824000.0 ; 2.212431E-5
2826000.0 ; 2.212433E-5
2828000.0 ; 2.212434E-5
2830000.0 ; 2.212436E-5
2835000.0 ; 2.21244E-5
2840000.0 ; 2.212444E-5
2845000.0 ; 2.212448E-5
2850000.0 ; 2.212453E-5
2855000.0 ; 2.212457E-5
2860000.0 ; 2.212461E-5
2865000.0 ; 2.212465E-5
2870000.0 ; 2.212469E-5
2875000.0 ; 2.212473E-5
2880000.0 ; 2.212477E-5
2885000.0 ; 2.212481E-5
2890000.0 ; 2.212485E-5
2895000.0 ; 2.212489E-5
2900000.0 ; 2.212493E-5
2905000.0 ; 2.212497E-5
2910000.0 ; 2.212501E-5
2915000.0 ; 2.212505E-5
2920000.0 ; 2.212509E-5
2924000.0 ; 2.212513E-5
2928000.0 ; 2.212516E-5
2932000.0 ; 2.212519E-5
2936000.0 ; 2.212522E-5
2940000.0 ; 2.212525E-5
2944000.0 ; 2.212529E-5
2948000.0 ; 2.212532E-5
2952000.0 ; 2.212535E-5
2956000.0 ; 2.212538E-5
2960000.0 ; 2.212541E-5
2964000.0 ; 2.212544E-5
2968000.0 ; 2.212548E-5
2972000.0 ; 2.212551E-5
2976000.0 ; 2.212554E-5
2980000.0 ; 2.212557E-5
2984000.0 ; 2.21256E-5
2988000.0 ; 2.212563E-5
2992000.0 ; 2.212566E-5
2996000.0 ; 2.21257E-5
3000000.0 ; 2.212573E-5
3010000.0 ; 2.212581E-5
3020000.0 ; 2.212588E-5
3030000.0 ; 2.212596E-5
3040000.0 ; 2.212604E-5
3050000.0 ; 2.212611E-5
3053000.0 ; 2.212614E-5
3060000.0 ; 2.212619E-5
3080000.0 ; 2.212634E-5
3100000.0 ; 2.21265E-5
3120000.0 ; 2.212665E-5
3140000.0 ; 2.21268E-5
3160000.0 ; 2.212694E-5
3180000.0 ; 2.212709E-5
3200000.0 ; 2.212724E-5
3220000.0 ; 2.212739E-5
3240000.0 ; 2.212753E-5
3260000.0 ; 2.212767E-5
3280000.0 ; 2.212782E-5
3300000.0 ; 2.212796E-5
3320000.0 ; 2.21281E-5
3340000.0 ; 2.212824E-5
3360000.0 ; 2.212838E-5
3380000.0 ; 2.212852E-5
3400000.0 ; 2.212866E-5
3420000.0 ; 2.21288E-5
3440000.0 ; 2.212893E-5
3460000.0 ; 2.212907E-5
3480000.0 ; 2.212921E-5
3500000.0 ; 2.212934E-5
3520000.0 ; 2.212947E-5
3540000.0 ; 2.212961E-5
3553000.0 ; 2.212969E-5
3560000.0 ; 2.212974E-5
3580000.0 ; 2.212987E-5
3600000.0 ; 2.213E-5
3620000.0 ; 2.213013E-5
3640000.0 ; 2.213026E-5
3660000.0 ; 2.213039E-5
3680000.0 ; 2.213051E-5
3700000.0 ; 2.213064E-5
3720000.0 ; 2.213077E-5
3740000.0 ; 2.213089E-5
3760000.0 ; 2.213102E-5
3780000.0 ; 2.213114E-5
3800000.0 ; 2.213127E-5
3820000.0 ; 2.213139E-5
3840000.0 ; 2.213151E-5
3860000.0 ; 2.213163E-5
3880000.0 ; 2.213176E-5
3900000.0 ; 2.213188E-5
3920000.0 ; 2.2132E-5
3940000.0 ; 2.213211E-5
3960000.0 ; 2.213223E-5
3980000.0 ; 2.213235E-5
4000000.0 ; 2.213247E-5
4010000.0 ; 2.213253E-5
4020000.0 ; 2.213259E-5
4030000.0 ; 2.213264E-5
4040000.0 ; 2.21327E-5
4050000.0 ; 2.213276E-5
4053000.0 ; 2.213278E-5
4060000.0 ; 2.213282E-5
4070000.0 ; 2.213288E-5
4080000.0 ; 2.213293E-5
4090000.0 ; 2.213299E-5
4100000.0 ; 2.213305E-5
4110000.0 ; 2.213311E-5
4120000.0 ; 2.213316E-5
4130000.0 ; 2.213322E-5
4140000.0 ; 2.213328E-5
4150000.0 ; 2.213333E-5
4160000.0 ; 2.213339E-5
4170000.0 ; 2.213344E-5
4180000.0 ; 2.21335E-5
4190000.0 ; 2.213356E-5
4200000.0 ; 2.213361E-5
4210000.0 ; 2.213367E-5
4220000.0 ; 2.213372E-5
4230000.0 ; 2.213378E-5
4240000.0 ; 2.213383E-5
4250000.0 ; 2.213389E-5
4260000.0 ; 2.213395E-5
4270000.0 ; 2.2134E-5
4280000.0 ; 2.213406E-5
4290000.0 ; 2.213411E-5
4300000.0 ; 2.213416E-5
4310000.0 ; 2.213422E-5
4320000.0 ; 2.213427E-5
4330000.0 ; 2.213433E-5
4340000.0 ; 2.213438E-5
4350000.0 ; 2.213444E-5
4360000.0 ; 2.213449E-5
4370000.0 ; 2.213454E-5
4380000.0 ; 2.21346E-5
4390000.0 ; 2.213465E-5
4400000.0 ; 2.21347E-5
4420000.0 ; 2.213481E-5
4440000.0 ; 2.213492E-5
4460000.0 ; 2.213502E-5
4480000.0 ; 2.213513E-5
4500000.0 ; 2.213523E-5
4520000.0 ; 2.213533E-5
4540000.0 ; 2.213544E-5
4553000.0 ; 2.21355E-5
4560000.0 ; 2.213554E-5
4580000.0 ; 2.213564E-5
4600000.0 ; 2.213575E-5
4620000.0 ; 2.213585E-5
4640000.0 ; 2.213595E-5
4660000.0 ; 2.213605E-5
4680000.0 ; 2.213615E-5
4700000.0 ; 2.213625E-5
4720000.0 ; 2.213635E-5
4740000.0 ; 2.213645E-5
4760000.0 ; 2.213655E-5
4780000.0 ; 2.213665E-5
4800000.0 ; 2.213674E-5
4810000.0 ; 2.213679E-5
4812000.0 ; 2.21368E-5
4812089.0 ; 2.21368E-5
4820000.0 ; 2.213684E-5
4850000.0 ; 2.213699E-5
4899900.0 ; 2.213723E-5
4900000.0 ; 2.213723E-5
4919400.0 ; 2.213732E-5
4920000.0 ; 2.213732E-5
4930000.0 ; 2.213737E-5
4934500.0 ; 2.213739E-5
4935500.0 ; 2.21374E-5
4936700.0 ; 2.21374E-5
4938500.0 ; 2.213741E-5
4939500.0 ; 2.213741E-5
4940000.0 ; 2.213742E-5
4943200.0 ; 2.213743E-5
4948100.0 ; 2.213746E-5
4950000.0 ; 2.213746E-5
4954600.0 ; 2.213749E-5
4958400.0 ; 2.21375E-5
4980000.0 ; 2.213761E-5
4990000.0 ; 2.213765E-5
5000000.0 ; 2.21377E-5
5001000.0 ; 2.214432E-5
5030000.0 ; 2.233654E-5
5053000.0 ; 2.248938E-5
5100000.0 ; 2.280279E-5
5120000.0 ; 2.293658E-5
5150000.0 ; 2.313777E-5
5180000.0 ; 2.333953E-5
5200000.0 ; 2.347436E-5
5230000.0 ; 2.367708E-5
5280000.0 ; 2.401624E-5
5300000.0 ; 2.415235E-5
5330000.0 ; 2.435699E-5
5335000.0 ; 2.439115E-5
5340000.0 ; 2.442533E-5
5360000.0 ; 2.45622E-5
5362000.0 ; 2.45759E-5
5370000.0 ; 2.463073E-5
5371000.0 ; 2.463759E-5
5378000.0 ; 2.46856E-5
5380000.0 ; 2.469932E-5
5390000.0 ; 2.476798E-5
5400000.0 ; 2.48367E-5
5410000.0 ; 2.490548E-5
5420000.0 ; 2.497433E-5
5430000.0 ; 2.504324E-5
5440000.0 ; 2.511221E-5
5460000.0 ; 2.525034E-5
5474740.0 ; 2.53523E-5
5500000.0 ; 2.570605E-5
5550000.0 ; 2.641597E-5
5553000.0 ; 2.645897E-5
5600000.0 ; 2.713886E-5
5650000.0 ; 2.787484E-5
5700000.0 ; 2.862403E-5
5800000.0 ; 3.016251E-5
5900000.0 ; 3.175526E-5
6000000.0 ; 3.34032E-5
6050000.0 ; 3.412156E-5
6053000.0 ; 3.416496E-5
6125000.0 ; 3.521664E-5
6160000.0 ; 3.573491E-5
6174000.0 ; 3.594351E-5
6180000.0 ; 3.603314E-5
6181200.0 ; 3.605108E-5
6181241.0 ; 3.60517E-5
6190000.0 ; 3.618283E-5
